word,freq,id
hermano,512,1446
palabra,512,1447
marco,511,1448
90,510,1449
Instituto,510,1450
coche,510,1451
buenos,508,1452
gasto,508,1453
estilo,507,1454
Cuba,506,1455
dónde,506,1456
impacto,506,1457
imposible,505,1458
sabemos,505,1459
etapa,504,1460
negocios,504,1461
profesor,503,1462
protesta,503,1463
Sevilla,502,1464
estudios,502,1465
legal,502,1466
La Jornada,501,1467
artista,501,1468
enorme,501,1469
puestos,501,1470
detenido,499,1471
Muchos,497,1472
alcanzar,497,1473
anunciado,497,1474
añade,497,1475
capaz,497,1476
competencia,497,1477
rueda,497,1478
titular,497,1479
torno,497,1480
detrás,496,1481
Ejército,495,1482
diálogo,495,1483
leyes,495,1484
nuestras,495,1485
arte,494,1486
ejercicio,494,1487
películas,494,1488
planes,494,1489
sangre,494,1490
usar,494,1491
daños,492,1492
realizó,491,1493
Del,490,1494
confirmó,490,1495
Aún,489,1496
Cámara,489,1497
banco,489,1498
fase,489,1499
paro,489,1500
cáncer,488,1501
función,488,1502
intención,488,1503
previsto,488,1504
Civil,487,1505
organizaciones,487,1506
Tiene,486,1507
pie,486,1508
protección,486,1509
tuvieron,486,1510
suelo,485,1511
Siria,484,1512
alimentos,484,1513
cayó,484,1514
Santos,483,1515
abierto,483,1516
candidatos,483,1517
elección,483,1518
ido,483,1519
Era,482,1520
amenaza,482,1521
saben,482,1522
fuente,481,1523
habido,480,1524
Norte,479,1525
administración,479,1526
afirmado,479,1527
escuela,479,1528
exposición,479,1529
socialista,479,1530
Parlamento,478,1531
logrado,478,1532
Felipe,477,1533
diseño,477,1534
ideas,477,1535
terreno,477,1536
Nuevo,476,1537
duro,476,1538
déficit,476,1539
reciente,476,1540
judicial,475,1541
murieron,475,1542
profesionales,475,1543
sufrió,475,1544
tráfico,475,1545
negociaciones,474,1546
planta,474,1547
propios,474,1548
humano,473,1549
destino,472,1550
pequeños,472,1551
propuestas,472,1552
Real Madrid,471,1553
Junta,470,1554
Pedro,470,1555
convirtió,470,1556
disposición,470,1557
promedio,470,1558
Comunidad,469,1559
Gómez,469,1560
convertido,469,1561
diferente,469,1562
recordó,469,1563
sueño,469,1564
300,468,1565
vaya,468,1566
estudiantes,467,1567
llama,467,1568
tasa,467,1569
ven,467,1570
A la,466,1571
Tribunal,466,1572
consecuencias,466,1573
entidades,466,1574
empezó,465,1575
frontera,464,1576
tengan,464,1577
Periódico,463,1578
darle,463,1579
municipales,463,1580
valores,463,1581
Diego,462,1582
segundos,462,1583
actor,461,1584
comercial,461,1585
contar,461,1586
material,461,1587
razones,461,1588
representa,461,1589
expertos,460,1590
terminó,460,1591
directamente,459,1592
negro,459,1593
Nadie,458,1594
actos,458,1595
fotos,458,1596
Málaga,457,1597
balón,457,1598
Naciones,456,1599
compañías,456,1600
deberá,456,1601
indica,456,1602
p.,456,1603
presentar,456,1604
curso,455,1605
oferta,455,1606
Messi,454,1607
PRI,454,1608
actuación,454,1609
análisis,454,1610
detenidos,454,1611
mostró,454,1612
consideró,453,1613
ocurrido,453,1614
petróleo,453,1615
tratar,453,1616
Rubalcaba,452,1617
existen,452,1618
hacía,452,1619
trabajos,452,1620
cámara,451,1621
inició,451,1622
mismas,451,1623
Pese,450,1624
empezar,450,1625
estados,450,1626
mínimo,449,1627
Agregó,448,1628
Pues,448,1629
isla,448,1630
suerte,448,1631
tendrán,448,1632
mala,447,1633
Dijo,446,1634
viven,446,1635
Hemos,445,1636
búsqueda,445,1637
décadas,445,1638
natural,445,1639
participar,444,1640
particular,444,1641
Aquí,443,1642
Trípoli,443,1643
acerca,443,1644
golpe,443,1645
mandatario,443,1646
ocurrió,443,1647
tantos,443,1648
contenido,442,1649
empresarios,442,1650
financiera,442,1651
fuertes,442,1652
instalaciones,442,1653
ventas,442,1654
artículo,441,1655
institución,441,1656
produjo,441,1657
diputados,440,1658
dudas,440,1659
presentado,440,1660
totalmente,440,1661
Berlusconi,439,1662
Unidas,439,1663
abrir,439,1664
efectos,439,1665
posibilidades,439,1666
distintas,438,1667
drogas,437,1668
decidido,436,1669
manifestó,436,1670
mesa,436,1671
motivo,436,1672
seguidores,436,1673
Unido,435,1674
derrota,435,1675
labor,435,1676
lanzó,435,1677
condición,434,1678
mar,434,1679
penal,434,1680
presenta,434,1681
supuesto,434,1682
anteriores,433,1683
consecuencia,433,1684
leer,433,1685
organizado,433,1686
